resource_id,resource_type,action,risk_level,waste_score,recommendation,estimated_savings,monthly_cost,annual_cost,risk_score,risk_explanation,execution_steps,business_justification,technical_justification,expected_outcome
res-healthy-011,healthy,ignore,low,8.4,Safe To Remediate,0.0,246.8,2961.6,20,"Resource res-healthy-011 has a predetermined risk score of 20 (low risk) due to: Auto Scaling Group membership, recent activity (20 days ago), identified resource owner. Although the waste score is 8.4 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 8.4.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 8.4. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-012,healthy,manual_review,medium,7.7,Manual Review Required,1175.94,391.98,4703.76,40,"Resource res-healthy-012 has a predetermined risk score of 40 (medium risk) due to: production environment, identified resource owner. Although the waste score is 7.7 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,175.94 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 7.7.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 7.7. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-013,healthy,manual_review,medium,7.3,Manual Review Required,1062.9,354.3,4251.6,45,"Resource res-healthy-013 has a predetermined risk score of 45 (medium risk) due to: business-critical designation, load balancer attachment, recent activity (13 days ago), identified resource owner. Although the waste score is 7.3 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,062.90 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 7.3.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 7.3. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-014,healthy,manual_review,medium,8.5,Manual Review Required,1363.68,454.57,5454.84,65,"Resource res-healthy-014 has a predetermined risk score of 65 (medium risk) due to: business-critical designation, Auto Scaling Group membership, load balancer attachment, recent activity (18 days ago), identified resource owner. Although the waste score is 8.5 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,363.68 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.5.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.5. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-015,healthy,ignore,low,6.3,Safe To Remediate,0.0,300.6,3607.2,0,"Resource res-healthy-015 has a predetermined risk score of 0 (low risk) due to: recent activity (19 days ago), identified resource owner. Although the waste score is 6.3 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 6.3.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 6.3. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-016,healthy,ignore,high,7.8,Do Not Remediate,0.0,116.05,1392.6,85,"Resource res-healthy-016 has a predetermined risk score of 85 (high risk) due to: production environment, business-critical designation, load balancer attachment, identified resource owner. Although the waste score is 7.8 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 7.8.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 7.8. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-017,healthy,manual_review,medium,5.7,Manual Review Required,1179.3,393.1,4717.2,65,"Resource res-healthy-017 has a predetermined risk score of 65 (medium risk) due to: production environment, load balancer attachment, recent activity (8 days ago), identified resource owner. Although the waste score is 5.7 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,179.30 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 5.7.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 5.7. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-018,healthy,ignore,high,6.1,Do Not Remediate,0.0,102.86,1234.32,85,"Resource res-healthy-018 has a predetermined risk score of 85 (high risk) due to: production environment, Auto Scaling Group membership, load balancer attachment, recent activity (17 days ago), identified resource owner. Although the waste score is 6.1 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 6.1.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 6.1. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-019,healthy,ignore,low,5.5,Safe To Remediate,0.0,178.55,2142.6,30,"Resource res-healthy-019 has a predetermined risk score of 30 (low risk) due to: Auto Scaling Group membership, recent activity (12 days ago). Although the waste score is 5.5 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 5.5.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 5.5. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-020,healthy,manual_review,medium,6.7,Manual Review Required,317.4,105.8,1269.6,65,"Resource res-healthy-020 has a predetermined risk score of 65 (medium risk) due to: business-critical designation, Auto Scaling Group membership, load balancer attachment. Although the waste score is 6.7 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $317.40 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.7.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.7. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-021,healthy,ignore,high,6.1,Do Not Remediate,0.0,233.52,2802.24,95,"Resource res-healthy-021 has a predetermined risk score of 95 (high risk) due to: production environment, business-critical designation, load balancer attachment, recent activity (21 days ago), identified resource owner. Although the waste score is 6.1 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 6.1.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 6.1. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-022,healthy,ignore,low,6.4,Safe To Remediate,0.0,457.36,5488.32,0,"Resource res-healthy-022 has a predetermined risk score of 0 (low risk) due to: identified resource owner. Although the waste score is 6.4 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 6.4.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 6.4. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-023,healthy,manual_review,medium,7.3,Manual Review Required,819.66,273.22,3278.64,50,"Resource res-healthy-023 has a predetermined risk score of 50 (medium risk) due to: business-critical designation, Auto Scaling Group membership, recent activity (9 days ago), identified resource owner. Although the waste score is 7.3 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $819.66 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 7.3.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 7.3. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-024,healthy,ignore,high,7.4,Do Not Remediate,0.0,398.94,4787.28,100,"Resource res-healthy-024 has a predetermined risk score of 100 (high risk) due to: production environment, business-critical designation, Auto Scaling Group membership, recent activity (15 days ago). Although the waste score is 7.4 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 7.4.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 7.4. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-025,healthy,manual_review,medium,6.3,Manual Review Required,1298.76,432.92,5195.04,60,"Resource res-healthy-025 has a predetermined risk score of 60 (medium risk) due to: business-critical designation, Auto Scaling Group membership, recent activity (19 days ago). Although the waste score is 6.3 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,298.76 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.3.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.3. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-026,healthy,manual_review,medium,4.2,Manual Review Required,791.94,263.97,3167.64,40,"Resource res-healthy-026 has a predetermined risk score of 40 (medium risk) due to: business-critical designation, recent activity (22 days ago). Although the waste score is 4.2 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $791.94 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 4.2.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 4.2. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-027,healthy,ignore,low,7.7,Safe To Remediate,0.0,413.79,4965.48,25,"Resource res-healthy-027 has a predetermined risk score of 25 (low risk) due to: Auto Scaling Group membership, load balancer attachment, identified resource owner. Although the waste score is 7.7 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 7.7.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 7.7. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-028,healthy,manual_review,medium,6.4,Manual Review Required,1208.28,402.77,4833.24,70,"Resource res-healthy-028 has a predetermined risk score of 70 (medium risk) due to: production environment, Auto Scaling Group membership, recent activity (20 days ago), identified resource owner. Although the waste score is 6.4 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,208.28 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.4.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.4. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-029,healthy,manual_review,medium,8.1,Manual Review Required,624.42,208.14,2497.68,55,"Resource res-healthy-029 has a predetermined risk score of 55 (medium risk) due to: production environment, load balancer attachment, identified resource owner. Although the waste score is 8.1 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $624.42 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.1.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.1. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-030,healthy,manual_review,medium,6.4,Manual Review Required,583.8,194.61,2335.32,75,"Resource res-healthy-030 has a predetermined risk score of 75 (medium risk) due to: production environment, Auto Scaling Group membership, load balancer attachment, identified resource owner. Although the waste score is 6.4 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $583.80 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 6.4.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 6.4. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-031,healthy,ignore,high,6.2,Do Not Remediate,0.0,320.5,3846.0,80,"Resource res-healthy-031 has a predetermined risk score of 80 (high risk) due to: production environment, Auto Scaling Group membership, recent activity (28 days ago). Although the waste score is 6.2 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 6.2.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 6.2. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-032,healthy,manual_review,medium,9.8,Manual Review Required,927.84,309.28,3711.36,50,"Resource res-healthy-032 has a predetermined risk score of 50 (medium risk) due to: business-critical designation, Auto Scaling Group membership, recent activity (13 days ago), identified resource owner. Although the waste score is 9.8 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $927.84 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 9.8.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 9.8. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-033,healthy,manual_review,medium,4.2,Manual Review Required,396.18,132.05,1584.6,60,"Resource res-healthy-033 has a predetermined risk score of 60 (medium risk) due to: production environment, recent activity (10 days ago). Although the waste score is 4.2 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $396.18 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 4.2.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 4.2. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-034,healthy,ignore,low,5.3,Safe To Remediate,0.0,108.46,1301.52,20,"Resource res-healthy-034 has a predetermined risk score of 20 (low risk) due to: business-critical designation, identified resource owner. Although the waste score is 5.3 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 5.3.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 5.3. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-035,healthy,manual_review,medium,9.1,Manual Review Required,1214.16,404.72,4856.64,65,"Resource res-healthy-035 has a predetermined risk score of 65 (medium risk) due to: production environment, load balancer attachment, recent activity (2 days ago), identified resource owner. Although the waste score is 9.1 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,214.16 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 9.1.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 9.1. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-036,healthy,manual_review,medium,9.1,Manual Review Required,298.44,99.48,1193.76,55,"Resource res-healthy-036 has a predetermined risk score of 55 (medium risk) due to: business-critical designation, load balancer attachment, recent activity (6 days ago). Although the waste score is 9.1 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $298.44 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 9.1.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 9.1. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-037,healthy,ignore,high,8.8,Do Not Remediate,0.0,318.88,3826.56,80,"Resource res-healthy-037 has a predetermined risk score of 80 (high risk) due to: production environment, business-critical designation, recent activity (20 days ago), identified resource owner. Although the waste score is 8.8 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 8.8.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 8.8. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-038,healthy,ignore,high,6.8,Do Not Remediate,0.0,321.67,3860.04,95,"Resource res-healthy-038 has a predetermined risk score of 95 (high risk) due to: production environment, business-critical designation, load balancer attachment, recent activity (7 days ago), identified resource owner. Although the waste score is 6.8 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 6.8.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 6.8. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-039,healthy,ignore,low,5.0,Safe To Remediate,0.0,91.72,1100.64,30,"Resource res-healthy-039 has a predetermined risk score of 30 (low risk) due to: Auto Scaling Group membership, recent activity (2 days ago). Although the waste score is 5.0 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 5.0.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 5.0. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-040,healthy,ignore,low,7.1,Safe To Remediate,0.0,304.51,3654.12,35,"Resource res-healthy-040 has a predetermined risk score of 35 (low risk) due to: business-critical designation, load balancer attachment, identified resource owner. Although the waste score is 7.1 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 7.1.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 7.1. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
